127.0.0.1 - - [13/Nov/2023:21:41:22 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /quanlythoigian/ HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /js/addevent.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /quanlythoigian/css/main.css HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /quanlythoigian/css/main.css;jsessionid=9CCAADDBAAAC15C96E3B4A84CE649C88 HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /quanlythoigian/css/base.css;jsessionid=9CCAADDBAAAC15C96E3B4A84CE649C88 HTTP/1.1" 200 17268
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /quanlythoigian/css/base.css HTTP/1.1" 200 17268
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:23 +0700] "GET /quanlythoigian/img/time2.jpg HTTP/1.1" 200 28203
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:41:27 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:20 +0700] "GET /quanlythoigian/ HTTP/1.1" 200 5994
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:20 +0700] "GET /quanlythoigian/css/base.css HTTP/1.1" 200 17268
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:20 +0700] "GET /quanlythoigian/css/main.css HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:20 +0700] "GET /js/addevent.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:20 +0700] "GET /quanlythoigian/img/time2.jpg HTTP/1.1" 200 28203
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:21 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:23 +0700] "GET /quanlythoigian/views/dangnhap.jsp HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:23 +0700] "GET /quanlythoigian/img/background-sigup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2023:21:43:23 +0700] "GET /quanlythoigian/js/login.js HTTP/1.1" 304 -
